,argpair,phenomenon,conclusion_type,domain,stronger_arg_premises,stronger_arg_conclusion,weaker_arg_premises,weaker_arg_conclusion,average_human_rating,osherson_rating,stronger_arg_scm,weaker_arg_scm,is_control,is_osherson,is_weaker_arg_shown_first
113,"['Cars', 'All vehicles', 'Rockets', 'All vehicles']",Typicality,General,Vehicles,['Cars'],All vehicles,['Rockets'],All vehicles,1.4,,9.708333333333334,6.322222222222223,False,False,True
114,"['Cars', 'All vehicles', 'Sleds', 'All vehicles']",Typicality,General,Vehicles,['Cars'],All vehicles,['Sleds'],All vehicles,1.2222222222222223,,9.708333333333334,6.900000000000001,False,False,True
115,"['Cars', 'All vehicles', 'Submarines', 'All vehicles']",Typicality,General,Vehicles,['Cars'],All vehicles,['Submarines'],All vehicles,2.3,,9.708333333333334,6.733333333333332,False,False,False
116,"['Cars', 'All vehicles', 'Zeppelins', 'All vehicles']",Typicality,General,Vehicles,['Cars'],All vehicles,['Zeppelins'],All vehicles,1.0,,9.708333333333334,7.05,False,False,False
117,"['Cars', 'Carts', 'Carts', 'Cars']",Asymmetry,Specific,Vehicles,['Cars'],Carts,['Carts'],Cars,2.25,,10.054166666666667,9.380555555555556,False,False,False
118,"['Cars', 'Mopeds', 'Sleds', 'Zeppelins', 'Cars', 'Mopeds', 'Zeppelins']",Monotonicity (Specific),Specific,Vehicles,"['Cars', 'Mopeds', 'Sleds']",Zeppelins,"['Cars', 'Mopeds']",Zeppelins,1.8888888888888888,,8.733333333333333,8.3125,False,False,True
119,"['Cars', 'Rockets', 'All vehicles', 'Cars', 'Caravans', 'All vehicles']",Diversity (General),General,Vehicles,"['Cars', 'Rockets']",All vehicles,"['Cars', 'Caravans']",All vehicles,3.0,,10.800000000000002,10.275,False,False,True
120,"['Cars', 'Sleds', 'Sleds', 'Cars']",Asymmetry,Specific,Vehicles,['Cars'],Sleds,['Sleds'],Cars,2.7777777777777777,,8.620833333333334,7.216666666666667,False,False,False
121,"['Cars', 'Tractors', 'Tractors', 'Cars']",Asymmetry,Specific,Vehicles,['Cars'],Tractors,['Tractors'],Cars,2.25,,9.8875,8.930555555555555,False,False,True
122,"['Cars', 'Trams', 'Tractors', 'Airplanes', 'Cars', 'Trams', 'Airplanes']",Monotonicity (Specific),Specific,Vehicles,"['Cars', 'Trams', 'Tractors']",Airplanes,"['Cars', 'Trams']",Airplanes,1.7,,9.022222222222222,8.815277777777778,False,False,True
123,"['Carts', 'Carriages', 'Carts', 'Pickaxes', 'Carriages']",Nonmonotonicity (Specific),Mixed,Vehicles,['Carts'],Carriages,"['Carts', 'Pickaxes']",Carriages,1.3,,,,False,False,False
124,"['Carts', 'Carriages', 'Submarines', 'Carriages']",Similarity,Specific,Vehicles,['Carts'],Carriages,['Submarines'],Carriages,0.7777777777777778,,11.680555555555555,5.766666666666666,False,False,False
125,"['Carts', 'Helicopters', 'Buses', 'Carts', 'Sleds', 'Buses']",Diversity (Specific),Specific,Vehicles,"['Carts', 'Helicopters']",Buses,"['Carts', 'Sleds']",Buses,3.0,,8.563888888888888,8.080555555555556,False,False,False
126,"['Carts', 'Helicopters', 'Carts', 'Ploughs', 'Helicopters']",Nonmonotonicity (Specific),Mixed,Vehicles,['Carts'],Helicopters,"['Carts', 'Ploughs']",Helicopters,2.7,,,,False,False,False
127,"['Carts', 'Hovercraft', 'All vehicles', 'Carts', 'Sleds', 'All vehicles']",Diversity (General),General,Vehicles,"['Carts', 'Hovercraft']",All vehicles,"['Carts', 'Sleds']",All vehicles,2.555555555555556,,10.008333333333333,8.96111111111111,False,False,False
128,"['Carts', 'Hovercraft', 'Buses', 'Carts', 'Sleds', 'Buses']",Diversity (Specific),Specific,Vehicles,"['Carts', 'Hovercraft']",Buses,"['Carts', 'Sleds']",Buses,2.8,,8.604166666666666,8.080555555555556,False,False,True
129,"['Carts', 'Hovercraft', 'Tractors', 'Carts', 'Sleds', 'Tractors']",Diversity (Specific),Specific,Vehicles,"['Carts', 'Hovercraft']",Tractors,"['Carts', 'Sleds']",Tractors,2.7777777777777777,,9.4375,8.913888888888888,False,False,False
130,"['Carts', 'Motorbikes', 'Skateboards', 'Submarines', 'Carts', 'Motorbikes', 'Submarines']",Monotonicity (Specific),Specific,Vehicles,"['Carts', 'Motorbikes', 'Skateboards']",Submarines,"['Carts', 'Motorbikes']",Submarines,1.5555555555555556,,7.698611111111111,7.430555555555555,False,False,True
131,"['Carts', 'Sleds', 'All vehicles', 'Carts', 'Sleds', 'Wheelbarrows', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Carts', 'Sleds']",All vehicles,"['Carts', 'Sleds', 'Wheelbarrows']",All vehicles,3.333333333333333,,,,False,False,True
132,"['Carts', 'Tractors', 'Zeppelins', 'All vehicles', 'Carts', 'Tractors', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Carts', 'Tractors', 'Zeppelins']",All vehicles,"['Carts', 'Tractors']",All vehicles,2.111111111111111,,10.90277777777778,9.297222222222222,False,False,False
133,"['Carts', 'Trucks', 'Rockets', 'All vehicles', 'Carts', 'Trucks', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Carts', 'Trucks', 'Rockets']",All vehicles,"['Carts', 'Trucks']",All vehicles,2.3,,11.366666666666667,10.330555555555554,False,False,True
134,"['Carts', 'Zeppelins', 'Caravans', 'Carts', 'Sleds', 'Caravans']",Diversity (Specific),Specific,Vehicles,"['Carts', 'Zeppelins']",Caravans,"['Carts', 'Sleds']",Caravans,3.4444444444444446,,10.216666666666669,9.647222222222222,False,False,False
135,"['Cats', 'All mammals', 'Bats', 'All mammals']",Typicality,General,Mammals,['Cats'],All mammals,['Bats'],All mammals,1.75,,8.62280701754386,6.0131578947368425,False,False,True
136,"['Cats', 'All mammals', 'Beavers', 'All mammals']",Typicality,General,Mammals,['Cats'],All mammals,['Beavers'],All mammals,2.2,,8.62280701754386,7.778508771929824,False,False,False
137,"['Cats', 'All mammals', 'Camels', 'All mammals']",Typicality,General,Mammals,['Cats'],All mammals,['Camels'],All mammals,2.5,,8.62280701754386,8.432017543859649,False,False,False
138,"['Cats', 'All mammals', 'Hedgehogs', 'All mammals']",Typicality,General,Mammals,['Cats'],All mammals,['Hedgehogs'],All mammals,1.7,,8.62280701754386,7.221491228070175,False,False,True
139,"['Cats', 'All mammals', 'Squirrels', 'All mammals']",Typicality,General,Mammals,['Cats'],All mammals,['Squirrels'],All mammals,1.6666666666666667,,8.62280701754386,7.7894736842105265,False,False,False
140,"['Cats', 'Camels', 'Bats', 'All mammals', 'Cats', 'Camels', 'All mammals']",Monotonicity (General),General,Mammals,"['Cats', 'Camels', 'Bats']",All mammals,"['Cats', 'Camels']",All mammals,1.9,,10.655701754385966,10.6140350877193,False,False,False
141,"['Cats', 'Cows', 'All mammals', 'Cats', 'Cows', 'All animals']",Specificity,General,Mammals,"['Cats', 'Cows']",All mammals,"['Cats', 'Cows']",All animals,1.7777777777777777,,,,False,False,False
142,"['Cats', 'Dogs', 'Cows', 'Dogs']",Similarity,Specific,Mammals,['Cats'],Dogs,['Cows'],Dogs,1.4444444444444444,,10.285087719298248,7.338815789473685,False,False,True
143,"['Cats', 'Donkeys', 'Squirrels', 'All mammals', 'Cats', 'Donkeys', 'All mammals']",Monotonicity (General),General,Mammals,"['Cats', 'Donkeys', 'Squirrels']",All mammals,"['Cats', 'Donkeys']",All mammals,0.8888888888888888,,11.857456140350877,11.002192982456142,False,False,False
144,"['Cats', 'Elephants', 'All mammals', 'Cats', 'Tigers', 'All mammals']",Diversity (General),General,Mammals,"['Cats', 'Elephants']",All mammals,"['Cats', 'Tigers']",All mammals,1.8888888888888888,,10.396929824561404,10.030701754385964,False,False,True
145,"['Cats', 'Giraffes', 'All mammals', 'Cats', 'Lions', 'All mammals']",Diversity (General),General,Mammals,"['Cats', 'Giraffes']",All mammals,"['Cats', 'Lions']",All mammals,1.5555555555555556,,10.49561403508772,10.030701754385964,False,False,False
146,"['Cats', 'Giraffes', 'All mammals', 'Cats', 'Rabbits', 'All mammals']",Diversity (General),General,Mammals,"['Cats', 'Giraffes']",All mammals,"['Cats', 'Rabbits']",All mammals,2.555555555555556,,10.49561403508772,9.64035087719298,False,False,False
147,"['Cats', 'Hamsters', 'Hamsters', 'Cats']",Asymmetry,Specific,Mammals,['Cats'],Hamsters,['Hamsters'],Cats,2.4444444444444446,,8.864035087719298,8.456140350877192,False,False,True
148,"['Cats', 'Hedgehogs', 'All mammals', 'Cats', 'Hedgehogs', 'Pythons', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cats', 'Hedgehogs']",All mammals,"['Cats', 'Hedgehogs', 'Pythons']",All mammals,1.3333333333333333,,,,False,False,True
149,"['Cats', 'Llamas', 'All mammals', 'Cats', 'Rabbits', 'All mammals']",Diversity (General),General,Mammals,"['Cats', 'Llamas']",All mammals,"['Cats', 'Rabbits']",All mammals,2.625,,10.949561403508772,9.64035087719298,False,False,False
150,"['Cats', 'Pigs', 'Bats', 'All mammals', 'Cats', 'Pigs', 'All mammals']",Monotonicity (General),General,Mammals,"['Cats', 'Pigs', 'Bats']",All mammals,"['Cats', 'Pigs']",All mammals,2.1,,9.445175438596491,9.403508771929824,False,False,True
151,"['Cats', 'Pigs', 'Donkeys', 'All mammals', 'Cats', 'Pigs', 'All mammals']",Monotonicity (General),General,Mammals,"['Cats', 'Pigs', 'Donkeys']",All mammals,"['Cats', 'Pigs']",All mammals,0.7777777777777778,,11.103070175438598,9.403508771929824,False,False,True
152,"['Cats', 'Pigs', 'Hedgehogs', 'Camels', 'Cats', 'Pigs', 'Camels']",Monotonicity (Specific),Specific,Mammals,"['Cats', 'Pigs', 'Hedgehogs']",Camels,"['Cats', 'Pigs']",Camels,1.8,,8.587719298245615,8.25438596491228,False,False,False
153,"['Cats', 'Pigs', 'Mice', 'Rhinos', 'Cats', 'Pigs', 'Rhinos']",Monotonicity (Specific),Specific,Mammals,"['Cats', 'Pigs', 'Mice']",Rhinos,"['Cats', 'Pigs']",Rhinos,2.555555555555556,,8.835526315789474,8.43859649122807,False,False,True
154,"['Cats', 'Zebras', 'All mammals', 'Cats', 'Zebras', 'Chameleons', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cats', 'Zebras']",All mammals,"['Cats', 'Zebras', 'Chameleons']",All mammals,1.25,,,,False,False,False
155,"['Chickens', 'Doves', 'Roosters', 'All birds', 'Chickens', 'Doves', 'All birds']",Monotonicity (General),General,Birds,"['Chickens', 'Doves', 'Roosters']",All birds,"['Chickens', 'Doves']",All birds,1.2,,11.485294117647058,11.301470588235295,False,False,True
156,"['Chickens', 'Eagles', 'Sparrows', 'Chickens', 'Peacocks', 'Sparrows']",Diversity (Specific),Specific,Birds,"['Chickens', 'Eagles']",Sparrows,"['Chickens', 'Peacocks']",Sparrows,1.75,,9.979166666666666,9.587009803921568,False,False,True
157,"['Chickens', 'Falcons', 'All birds', 'Chickens', 'Falcons', 'All animals']",Specificity,General,Birds,"['Chickens', 'Falcons']",All birds,"['Chickens', 'Falcons']",All animals,0.6666666666666666,,,,False,False,True
158,"['Chickens', 'Falcons', 'Ostriches', 'Doves', 'Chickens', 'Falcons', 'Doves']",Monotonicity (Specific),Specific,Birds,"['Chickens', 'Falcons', 'Ostriches']",Doves,"['Chickens', 'Falcons']",Doves,1.7,,11.84436274509804,11.540441176470589,False,False,True
159,"['Chickens', 'Herons', 'Ostriches', 'All birds', 'Chickens', 'Herons', 'All birds']",Monotonicity (General),General,Birds,"['Chickens', 'Herons', 'Ostriches']",All birds,"['Chickens', 'Herons']",All birds,0.5555555555555556,,12.235294117647058,11.821078431372548,False,False,True
160,"['Chickens', 'Owls', 'Roosters', 'All birds', 'Chickens', 'Owls', 'All birds']",Monotonicity (General),General,Birds,"['Chickens', 'Owls', 'Roosters']",All birds,"['Chickens', 'Owls']",All birds,0.875,,10.583333333333334,10.42892156862745,False,False,False
161,"['Chickens', 'Peacocks', 'Chickens', 'Mosquitoes', 'Peacocks']",Nonmonotonicity (Specific),Mixed,Birds,['Chickens'],Peacocks,"['Chickens', 'Mosquitoes']",Peacocks,1.1,,,,False,False,False
162,"['Chickens', 'Penguins', 'All birds', 'Chickens', 'Penguins', 'Leeches', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Chickens', 'Penguins']",All birds,"['Chickens', 'Penguins', 'Leeches']",All birds,0.8,,,,False,False,True
163,"['Chickens', 'Penguins', 'Swans', 'Chickens', 'Roosters', 'Swans']",Diversity (Specific),Specific,Birds,"['Chickens', 'Penguins']",Swans,"['Chickens', 'Roosters']",Swans,2.888888888888889,,9.262254901960784,9.457107843137257,False,False,False
164,"['Chickens', 'Turkeys', 'Penguins', 'Turkeys']",Similarity,Specific,Birds,['Chickens'],Turkeys,['Penguins'],Turkeys,0.5555555555555556,,12.996323529411764,6.4485294117647065,False,False,True
165,"['Chickens', 'Vultures', 'Penguins', 'Owls', 'Chickens', 'Vultures', 'Owls']",Monotonicity (Specific),Specific,Birds,"['Chickens', 'Vultures', 'Penguins']",Owls,"['Chickens', 'Vultures']",Owls,1.8,,9.925245098039216,9.925245098039216,False,False,True
166,"['Cows', 'All mammals', 'Bats', 'All mammals']",Typicality,General,Mammals,['Cows'],All mammals,['Bats'],All mammals,1.4,,8.572368421052632,6.0131578947368425,False,False,True
167,"['Cows', 'All mammals', 'Beavers', 'All mammals']",Typicality,General,Mammals,['Cows'],All mammals,['Beavers'],All mammals,1.7777777777777777,,8.572368421052632,7.778508771929824,False,False,True
168,"['Cows', 'All mammals', 'Camels', 'All mammals']",Typicality,General,Mammals,['Cows'],All mammals,['Camels'],All mammals,2.6666666666666665,,8.572368421052632,8.432017543859649,False,False,False
169,"['Cows', 'All mammals', 'Cows', 'Rhinos']",Inclusion Fallacy,General,Mammals,['Cows'],All mammals,['Cows'],Rhinos,3.125,,8.572368421052632,8.572368421052632,False,False,False
170,"['Cows', 'All mammals', 'Hedgehogs', 'All mammals']",Typicality,General,Mammals,['Cows'],All mammals,['Hedgehogs'],All mammals,2.0,,8.572368421052632,7.221491228070175,False,False,True
171,"['Cows', 'All mammals', 'Squirrels', 'All mammals']",Typicality,General,Mammals,['Cows'],All mammals,['Squirrels'],All mammals,1.7,,8.572368421052632,7.7894736842105265,False,False,False
172,"['Cows', 'Beavers', 'Lions', 'Cows', 'Pigs', 'Lions']",Diversity (Specific),Specific,Mammals,"['Cows', 'Beavers']",Lions,"['Cows', 'Pigs']",Lions,3.3,,9.036184210526317,8.578947368421053,False,False,False
173,"['Cows', 'Dogs', 'Bats', 'Llamas', 'Cows', 'Dogs', 'Llamas']",Monotonicity (Specific),Specific,Mammals,"['Cows', 'Dogs', 'Bats']",Llamas,"['Cows', 'Dogs']",Llamas,2.111111111111111,,10.135964912280702,10.018640350877192,False,False,True
174,"['Cows', 'Dogs', 'Tigers', 'All mammals', 'Cows', 'Dogs', 'All mammals']",Monotonicity (General),General,Mammals,"['Cows', 'Dogs', 'Tigers']",All mammals,"['Cows', 'Dogs']",All mammals,1.1,,11.166666666666666,10.353070175438596,False,False,False
175,"['Cows', 'Donkeys', 'All mammals', 'Cows', 'Donkeys', 'Dinosaurs', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cows', 'Donkeys']",All mammals,"['Cows', 'Donkeys', 'Dinosaurs']",All mammals,1.125,,,,False,False,True
176,"['Cows', 'Donkeys', 'All mammals', 'Cows', 'Donkeys', 'Snakes', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cows', 'Donkeys']",All mammals,"['Cows', 'Donkeys', 'Snakes']",All mammals,1.1111111111111112,,,,False,False,True
177,"['Cows', 'Hedgehogs', 'All mammals', 'Cows', 'Deer', 'All mammals']",Diversity (General),General,Mammals,"['Cows', 'Hedgehogs']",All mammals,"['Cows', 'Deer']",All mammals,2.6666666666666665,,9.942982456140353,9.592105263157896,False,False,False
178,"['Cows', 'Mice', 'All mammals', 'Cows', 'Horses', 'All mammals']",Diversity (General),General,Mammals,"['Cows', 'Mice']",All mammals,"['Cows', 'Horses']",All mammals,2.4,,10.057017543859647,9.923245614035087,False,False,True
179,"['Cows', 'Mice', 'Mice', 'Cows']",Asymmetry,Specific,Mammals,['Cows'],Mice,['Mice'],Cows,3.1,,6.996710526315789,6.25,False,False,True
180,"['Cows', 'Rhinos', 'Rhinos', 'Cows']",Asymmetry,Specific,Mammals,['Cows'],Rhinos,['Rhinos'],Cows,2.4444444444444446,,9.049342105263158,8.891447368421053,False,False,False
181,"['Cows', 'Zebras', 'All mammals', 'Cows', 'Zebras', 'Salamanders', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cows', 'Zebras']",All mammals,"['Cows', 'Zebras', 'Salamanders']",All mammals,1.6666666666666667,,,,False,False,True
182,"['Crows', 'All birds', 'Chickens', 'All birds']",Typicality,General,Birds,['Crows'],All birds,['Chickens'],All birds,2.1,,9.79656862745098,9.63970588235294,False,False,False
183,"['Crows', 'All birds', 'Crows', 'Vultures']",Inclusion Fallacy,General,Birds,['Crows'],All birds,['Crows'],Vultures,3.111111111111111,,9.79656862745098,9.79656862745098,False,False,False
184,"['Crows', 'All birds', 'Ostriches', 'All birds']",Typicality,General,Birds,['Crows'],All birds,['Ostriches'],All birds,1.6666666666666667,,9.79656862745098,8.25,False,False,False
185,"['Crows', 'All birds', 'Penguins', 'All birds']",Typicality,General,Birds,['Crows'],All birds,['Penguins'],All birds,3.0,,9.79656862745098,6.25,False,False,True
186,"['Crows', 'All birds', 'Roosters', 'All birds']",Typicality,General,Birds,['Crows'],All birds,['Roosters'],All birds,2.2,,9.79656862745098,9.144607843137257,False,False,False
187,"['Crows', 'All birds', 'Turkeys', 'All birds']",Typicality,General,Birds,['Crows'],All birds,['Turkeys'],All birds,1.7,,9.79656862745098,9.620098039215684,False,False,True
188,"['Crows', 'Herons', 'Ostriches', 'Roosters', 'Crows', 'Herons', 'Roosters']",Monotonicity (Specific),Specific,Birds,"['Crows', 'Herons', 'Ostriches']",Roosters,"['Crows', 'Herons']",Roosters,1.2222222222222223,,9.96813725490196,9.71078431372549,False,False,True
189,"['Crows', 'Peacocks', 'All birds', 'Crows', 'Peacocks', 'Rabbits', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Crows', 'Peacocks']",All birds,"['Crows', 'Peacocks', 'Rabbits']",All birds,1.1,0.85,,,False,True,True
190,"['Crows', 'Penguins', 'All birds', 'Crows', 'Falcons', 'All birds']",Diversity (General),General,Birds,"['Crows', 'Penguins']",All birds,"['Crows', 'Falcons']",All birds,2.875,,9.921568627450982,10.674019607843135,False,False,False
191,"['Crows', 'Penguins', 'Crows', 'All birds']",Inclusion Fallacy,General,Birds,['Crows'],Penguins,['Crows'],All birds,3.0,,9.79656862745098,9.79656862745098,False,False,True
192,"['Crows', 'Penguins', 'Penguins', 'Crows']",Asymmetry,Specific,Birds,['Crows'],Penguins,['Penguins'],Crows,2.3,,7.957107843137255,6.1838235294117645,False,False,True
193,"['Crows', 'Roosters', 'Roosters', 'Crows']",Asymmetry,Specific,Birds,['Crows'],Roosters,['Roosters'],Crows,2.4444444444444446,,9.045343137254903,8.719362745098039,False,False,True
194,"['Crows', 'Storks', 'Storks', 'Crows']",Asymmetry,Specific,Birds,['Crows'],Storks,['Storks'],Crows,2.4444444444444446,,8.751225490196079,8.372549019607844,False,False,True
195,"['Crows', 'Swallows', 'All birds', 'Crows', 'Swallows', 'All animals']",Specificity,General,Birds,"['Crows', 'Swallows']",All birds,"['Crows', 'Swallows']",All animals,0.8888888888888888,,,,False,False,False
196,"['Crows', 'Swallows', 'Ostriches', 'All birds', 'Crows', 'Swallows', 'All birds']",Monotonicity (General),General,Birds,"['Crows', 'Swallows', 'Ostriches']",All birds,"['Crows', 'Swallows']",All birds,1.6666666666666667,,11.558823529411764,10.713235294117649,False,False,False
197,"['Crows', 'Swallows', 'Turkeys', 'Seagulls', 'Crows', 'Swallows', 'Seagulls']",Monotonicity (Specific),Specific,Birds,"['Crows', 'Swallows', 'Turkeys']",Seagulls,"['Crows', 'Swallows']",Seagulls,1.9,,12.636029411764708,11.797794117647058,False,False,False
198,"['Crows', 'Swans', 'Blackbirds', 'Crows', 'Herons', 'Blackbirds']",Diversity (Specific),Specific,Birds,"['Crows', 'Swans']",Blackbirds,"['Crows', 'Herons']",Blackbirds,3.0,,11.345588235294116,11.299019607843135,False,False,True
199,"['Crows', 'Swans', 'Robins', 'Crows', 'Vultures', 'Robins']",Diversity (Specific),Specific,Birds,"['Crows', 'Swans']",Robins,"['Crows', 'Vultures']",Robins,2.5,,9.110294117647058,8.910539215686274,False,False,False
200,"['Crows', 'Turkeys', 'All birds', 'Crows', 'Turkeys', 'Cockchafers', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Crows', 'Turkeys']",All birds,"['Crows', 'Turkeys', 'Cockchafers']",All birds,1.5,,,,False,False,False
201,"['Deer', 'Bats', 'All mammals', 'Deer', 'Llamas', 'All mammals']",Diversity (General),General,Mammals,"['Deer', 'Bats']",All mammals,"['Deer', 'Llamas']",All mammals,3.4444444444444446,,9.164473684210526,9.853070175438598,False,False,False
202,"['Deer', 'Bats', 'Cats', 'Deer', 'Cows', 'Cats']",Diversity (Specific),Specific,Mammals,"['Deer', 'Bats']",Cats,"['Deer', 'Cows']",Cats,3.4444444444444446,,8.398026315789473,8.611842105263158,False,False,False
203,"['Deer', 'Donkeys', 'Bats', 'Donkeys']",Similarity,Specific,Mammals,['Deer'],Donkeys,['Bats'],Donkeys,1.1,,9.839912280701755,5.901315789473685,False,False,False
204,"['Deer', 'Elephants', 'All mammals', 'Deer', 'Elephants', 'All animals']",Specificity,General,Mammals,"['Deer', 'Elephants']",All mammals,"['Deer', 'Elephants']",All animals,1.4444444444444444,,,,False,False,False
205,"['Deer', 'Elephants', 'Zebras', 'Hedgehogs', 'Deer', 'Elephants', 'Hedgehogs']",Monotonicity (Specific),Specific,Mammals,"['Deer', 'Elephants', 'Zebras']",Hedgehogs,"['Deer', 'Elephants']",Hedgehogs,2.0,,8.298245614035087,7.890350877192983,False,False,True
206,"['Deer', 'Hamsters', 'All mammals', 'Deer', 'Hamsters', 'All animals']",Specificity,General,Mammals,"['Deer', 'Hamsters']",All mammals,"['Deer', 'Hamsters']",All animals,1.375,,,,False,False,True
207,"['Deer', 'Hedgehogs', 'All mammals', 'Deer', 'Giraffes', 'All mammals']",Diversity (General),General,Mammals,"['Deer', 'Hedgehogs']",All mammals,"['Deer', 'Giraffes']",All mammals,3.0,,9.93640350877193,9.567982456140353,False,False,True
208,"['Deer', 'Llamas', 'Hamsters', 'All mammals', 'Deer', 'Llamas', 'All mammals']",Monotonicity (General),General,Mammals,"['Deer', 'Llamas', 'Hamsters']",All mammals,"['Deer', 'Llamas']",All mammals,0.9,,11.502192982456142,9.853070175438598,False,False,True
209,"['Deer', 'Mice', 'All mammals', 'Deer', 'Giraffes', 'All mammals']",Diversity (General),General,Mammals,"['Deer', 'Mice']",All mammals,"['Deer', 'Giraffes']",All mammals,2.625,,10.032894736842104,9.567982456140353,False,False,True
210,"['Deer', 'Mice', 'Sheep', 'Deer', 'Giraffes', 'Sheep']",Diversity (Specific),Specific,Mammals,"['Deer', 'Mice']",Sheep,"['Deer', 'Giraffes']",Sheep,3.8,,9.174342105263158,8.94188596491228,False,False,True
211,"['Deer', 'Squirrels', 'All mammals', 'Deer', 'Squirrels', 'Pythons', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Deer', 'Squirrels']",All mammals,"['Deer', 'Squirrels', 'Pythons']",All mammals,0.8,,,,False,False,True
212,"['Deer', 'Squirrels', 'Hedgehogs', 'All mammals', 'Deer', 'Squirrels', 'All mammals']",Monotonicity (General),General,Mammals,"['Deer', 'Squirrels', 'Hedgehogs']",All mammals,"['Deer', 'Squirrels']",All mammals,1.8888888888888888,,10.62719298245614,10.203947368421051,False,False,False
213,"['Deer', 'Tigers', 'Kangaroos', 'Pigs', 'Deer', 'Tigers', 'Pigs']",Monotonicity (Specific),Specific,Mammals,"['Deer', 'Tigers', 'Kangaroos']",Pigs,"['Deer', 'Tigers']",Pigs,1.25,,8.807017543859649,8.770833333333334,False,False,False
214,"['Dogs', 'All mammals', 'Bats', 'All mammals']",Typicality,General,Mammals,['Dogs'],All mammals,['Bats'],All mammals,1.5,,8.785087719298247,6.0131578947368425,False,False,True
215,"['Dogs', 'All mammals', 'Beavers', 'All mammals']",Typicality,General,Mammals,['Dogs'],All mammals,['Beavers'],All mammals,1.625,,8.785087719298247,7.778508771929824,False,False,True
216,"['Dogs', 'All mammals', 'Camels', 'All mammals']",Typicality,General,Mammals,['Dogs'],All mammals,['Camels'],All mammals,2.2,,8.785087719298247,8.432017543859649,False,False,False
217,"['Dogs', 'All mammals', 'Dogs', 'Kangaroos']",Inclusion Fallacy,General,Mammals,['Dogs'],All mammals,['Dogs'],Kangaroos,2.333333333333333,,8.785087719298247,8.785087719298247,False,False,True
218,"['Dogs', 'All mammals', 'Dogs', 'Squirrels']",Inclusion Fallacy,General,Mammals,['Dogs'],All mammals,['Dogs'],Squirrels,2.25,,8.785087719298247,8.785087719298247,False,False,False
219,"['Dogs', 'All mammals', 'Hedgehogs', 'All mammals']",Typicality,General,Mammals,['Dogs'],All mammals,['Hedgehogs'],All mammals,1.7777777777777777,,8.785087719298247,7.221491228070175,False,False,True
220,"['Dogs', 'All mammals', 'Squirrels', 'All mammals']",Typicality,General,Mammals,['Dogs'],All mammals,['Squirrels'],All mammals,1.6666666666666667,,8.785087719298247,7.7894736842105265,False,False,True
221,"['Dogs', 'Bats', 'Bats', 'Dogs']",Asymmetry,Specific,Mammals,['Dogs'],Bats,['Bats'],Dogs,2.0,,7.418859649122807,6.032894736842105,False,False,False
222,"['Dogs', 'Camels', 'All mammals', 'Dogs', 'Camels', 'Cobras', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Dogs', 'Camels']",All mammals,"['Dogs', 'Camels', 'Cobras']",All mammals,0.75,,,,False,False,True
223,"['Dogs', 'Camels', 'Hedgehogs', 'All mammals', 'Dogs', 'Camels', 'All mammals']",Monotonicity (General),General,Mammals,"['Dogs', 'Camels', 'Hedgehogs']",All mammals,"['Dogs', 'Camels']",All mammals,1.5,,11.173245614035087,10.230263157894738,False,False,False
224,"['Dogs', 'Cows', 'All mammals', 'Dogs', 'Cats', 'All mammals']",Diversity (General),General,Mammals,"['Dogs', 'Cows']",All mammals,"['Dogs', 'Cats']",All mammals,2.4,,10.353070175438596,9.76535087719298,False,False,True
225,"['Dogs', 'Elephants', 'Mice', 'Lions', 'Dogs', 'Elephants', 'Lions']",Monotonicity (Specific),Specific,Mammals,"['Dogs', 'Elephants', 'Mice']",Lions,"['Dogs', 'Elephants']",Lions,2.4,,10.213815789473683,9.68311403508772,False,False,True
226,"['Dogs', 'Mice', 'All mammals', 'Dogs', 'Mice', 'Lizards', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Dogs', 'Mice']",All mammals,"['Dogs', 'Mice', 'Lizards']",All mammals,1.3,,,,False,False,True
227,"['Dogs', 'Rhinos', 'Beavers', 'All mammals', 'Dogs', 'Rhinos', 'All mammals']",Monotonicity (General),General,Mammals,"['Dogs', 'Rhinos', 'Beavers']",All mammals,"['Dogs', 'Rhinos']",All mammals,0.8888888888888888,,11.072368421052632,10.18640350877193,False,False,True
228,"['Dogs', 'Rhinos', 'Rhinos', 'Dogs']",Asymmetry,Specific,Mammals,['Dogs'],Rhinos,['Rhinos'],Dogs,2.4444444444444446,,7.4451754385964914,7.180921052631579,False,False,True
