,argument,domain,conclusion_type,is_single_premise,is_control,premises,conclusion,average_rating,average_ranking,num_ratings
201,"(('Cats', 'Hippos'), 'Cows')",Mammals,Specific,False,False,"('Cats', 'Hippos')",Cows,77.0,0.6909090909090909,10
202,"(('Cats', 'Sheep'), 'Llamas')",Mammals,Specific,False,False,"('Cats', 'Sheep')",Llamas,67.3,0.46363636363636357,10
203,"(('Cats', 'Squirrels'), 'All mammals')",Mammals,General,False,False,"('Cats', 'Squirrels')",All mammals,60.625,0.5170454545454546,8
204,"(('Chickens',), 'All birds')",Birds,General,True,False,"('Chickens',)",All birds,44.246153846153845,0.47150997150997154,65
205,"(('Chickens',), 'Blackbirds')",Birds,Specific,True,False,"('Chickens',)",Blackbirds,56.375,0.42592592592592593,8
206,"(('Chickens',), 'Canaries')",Birds,Specific,True,False,"('Chickens',)",Canaries,49.285714285714285,0.42063492063492064,7
207,"(('Chickens',), 'Pelicans')",Birds,Specific,True,False,"('Chickens',)",Pelicans,43.42857142857143,0.2857142857142857,7
208,"(('Chickens',), 'Robins')",Birds,Specific,True,False,"('Chickens',)",Robins,47.875,0.3541666666666667,8
209,"(('Chickens',), 'Roosters')",Birds,Specific,True,False,"('Chickens',)",Roosters,85.3076923076923,0.8425925925925924,26
210,"(('Chickens',), 'Storks')",Birds,Specific,True,False,"('Chickens',)",Storks,47.875,0.3449074074074074,8
211,"(('Chickens',), 'Turkeys')",Birds,Specific,True,False,"('Chickens',)",Turkeys,73.72222222222223,0.7510288065843621,18
212,"(('Chickens',), 'Woodpeckers')",Birds,Specific,True,False,"('Chickens',)",Woodpeckers,45.125,0.3796296296296296,8
213,"(('Chickens', 'Ducks'), 'All birds')",Birds,General,False,False,"('Chickens', 'Ducks')",All birds,51.25,0.5568181818181818,4
214,"(('Chickens', 'Eagles'), 'All birds')",Birds,General,False,False,"('Chickens', 'Eagles')",All birds,66.83333333333333,0.6363636363636364,6
215,"(('Chickens', 'Herons'), 'All birds')",Birds,General,False,False,"('Chickens', 'Herons')",All birds,75.0,0.5454545454545455,7
216,"(('Chickens', 'Magpies'), 'All birds')",Birds,General,False,False,"('Chickens', 'Magpies')",All birds,51.07692307692308,0.4720279720279719,13
217,"(('Chickens', 'Ostriches'), 'Pelicans')",Birds,Specific,False,False,"('Chickens', 'Ostriches')",Pelicans,38.714285714285715,0.31818181818181823,7
218,"(('Chickens', 'Parrots'), 'Turkeys')",Birds,Specific,False,False,"('Chickens', 'Parrots')",Turkeys,77.5,0.5852272727272727,8
219,"(('Chickens', 'Sparrows'), 'Canaries')",Birds,Specific,False,False,"('Chickens', 'Sparrows')",Canaries,62.857142857142854,0.6818181818181819,7
220,"(('Chickens', 'Sparrows'), 'Robins')",Birds,Specific,False,False,"('Chickens', 'Sparrows')",Robins,70.5,0.5852272727272727,8
221,"(('Cows',), 'All mammals')",Mammals,General,True,False,"('Cows',)",All mammals,51.41379310344828,0.5676883780332056,58
222,"(('Cows',), 'Cats')",Mammals,Specific,True,False,"('Cows',)",Cats,33.4375,0.33912037037037035,16
223,"(('Cows',), 'Donkeys')",Mammals,Specific,True,False,"('Cows',)",Donkeys,52.75,0.6319444444444445,8
224,"(('Cows',), 'Hippos')",Mammals,Specific,True,False,"('Cows',)",Hippos,53.44444444444444,0.667695473251029,18
225,"(('Cows',), 'Llamas')",Mammals,Specific,True,False,"('Cows',)",Llamas,47.22222222222222,0.462962962962963,9
226,"(('Cows',), 'Mice')",Mammals,Specific,True,False,"('Cows',)",Mice,27.526315789473685,0.290448343079922,19
227,"(('Cows',), 'Rhinos')",Mammals,Specific,True,False,"('Cows',)",Rhinos,59.333333333333336,0.6522633744855967,9
228,"(('Cows', 'Beavers'), 'Donkeys')",Mammals,Specific,False,False,"('Cows', 'Beavers')",Donkeys,52.0,0.44886363636363635,8
229,"(('Cows', 'Elephants'), 'All mammals')",Mammals,General,False,False,"('Cows', 'Elephants')",All mammals,50.285714285714285,0.39610389610389607,7
230,"(('Cows', 'Giraffes'), 'All mammals')",Mammals,General,False,False,"('Cows', 'Giraffes')",All mammals,59.75,0.5909090909090908,4
231,"(('Cows', 'Giraffes'), 'Llamas')",Mammals,Specific,False,False,"('Cows', 'Giraffes')",Llamas,69.44444444444444,0.6919191919191919,9
232,"(('Cows', 'Sheep'), 'Mice')",Mammals,Specific,False,False,"('Cows', 'Sheep')",Mice,37.6,0.3454545454545455,10
233,"(('Cows', 'Squirrels'), 'All mammals')",Mammals,General,False,False,"('Cows', 'Squirrels')",All mammals,65.57142857142857,0.4675324675324675,7
234,"(('Crows',), 'All birds')",Birds,General,True,False,"('Crows',)",All birds,51.323076923076925,0.5603988603988604,65
235,"(('Crows',), 'Peacocks')",Birds,Specific,True,False,"('Crows',)",Peacocks,45.44444444444444,0.4176954732510288,9
236,"(('Crows',), 'Pelicans')",Birds,Specific,True,False,"('Crows',)",Pelicans,44.411764705882355,0.4433551198257081,17
237,"(('Crows',), 'Robins')",Birds,Specific,True,False,"('Crows',)",Robins,68.0,0.7325102880658436,9
238,"(('Crows',), 'Swans')",Birds,Specific,True,False,"('Crows',)",Swans,32.6,0.3617283950617284,15
239,"(('Crows',), 'Woodpeckers')",Birds,Specific,True,False,"('Crows',)",Woodpeckers,57.5,0.6134259259259259,8
240,"(('Crows', 'Chickens'), 'All birds')",Birds,General,False,False,"('Crows', 'Chickens')",All birds,74.33333333333333,0.7575757575757577,6
241,"(('Crows', 'Chickens'), 'Woodpeckers')",Birds,Specific,False,False,"('Crows', 'Chickens')",Woodpeckers,69.125,0.40909090909090906,8
242,"(('Crows', 'Eagles'), 'Robins')",Birds,Specific,False,False,"('Crows', 'Eagles')",Robins,63.333333333333336,0.45959595959595956,9
243,"(('Crows', 'Roosters'), 'All birds')",Birds,General,False,False,"('Crows', 'Roosters')",All birds,72.85714285714286,0.422077922077922,7
244,"(('Crows', 'Sparrows'), 'All birds')",Birds,General,False,False,"('Crows', 'Sparrows')",All birds,59.833333333333336,0.6363636363636364,6
245,"(('Deer',), 'All mammals')",Mammals,General,True,False,"('Deer',)",All mammals,46.01724137931034,0.5226692209450831,58
246,"(('Deer',), 'Donkeys')",Mammals,Specific,True,False,"('Deer',)",Donkeys,59.0,0.6803118908382065,19
247,"(('Deer',), 'Foxes')",Mammals,Specific,True,False,"('Deer',)",Foxes,50.611111111111114,0.5792181069958848,18
248,"(('Deer',), 'Hedgehogs')",Mammals,Specific,True,False,"('Deer',)",Hedgehogs,33.25,0.38657407407407407,8
249,"(('Deer',), 'Hippos')",Mammals,Specific,True,False,"('Deer',)",Hippos,48.0,0.42592592592592593,10
250,"(('Deer',), 'Lions')",Mammals,Specific,True,False,"('Deer',)",Lions,37.75,0.5162037037037037,8
251,"(('Deer',), 'Rhinos')",Mammals,Specific,True,False,"('Deer',)",Rhinos,53.333333333333336,0.5493827160493827,9
252,"(('Deer',), 'Squirrels')",Mammals,Specific,True,False,"('Deer',)",Squirrels,32.8235294117647,0.36056644880174293,17
253,"(('Deer',), 'Zebras')",Mammals,Specific,True,False,"('Deer',)",Zebras,75.0,0.789351851851852,8
254,"(('Deer', 'Cats'), 'All mammals')",Mammals,General,False,False,"('Deer', 'Cats')",All mammals,59.0,0.5714285714285714,7
255,"(('Deer', 'Horses'), 'Donkeys')",Mammals,Specific,False,False,"('Deer', 'Horses')",Donkeys,77.1,0.7318181818181818,10
256,"(('Deer', 'Rabbits'), 'Foxes')",Mammals,Specific,False,False,"('Deer', 'Rabbits')",Foxes,68.6,0.6318181818181818,10
257,"(('Deer', 'Rabbits'), 'Rhinos')",Mammals,Specific,False,False,"('Deer', 'Rabbits')",Rhinos,51.44444444444444,0.3737373737373737,9
258,"(('Deer', 'Rhinos'), 'All mammals')",Mammals,General,False,False,"('Deer', 'Rhinos')",All mammals,63.0,0.47727272727272724,6
259,"(('Deer', 'Squirrels'), 'All mammals')",Mammals,General,False,False,"('Deer', 'Squirrels')",All mammals,68.25,0.7840909090909091,4
260,"(('Deer', 'Wolves'), 'Hedgehogs')",Mammals,Specific,False,False,"('Deer', 'Wolves')",Hedgehogs,52.375,0.40340909090909083,8
261,"(('Deer', 'Zebras'), 'Lions')",Mammals,Specific,False,False,"('Deer', 'Zebras')",Lions,61.125,0.5624999999999999,8
262,"(('Dogs',), 'All mammals')",Mammals,General,True,False,"('Dogs',)",All mammals,51.189655172413794,0.6079182630906769,58
263,"(('Dogs',), 'Cats')",Mammals,Specific,True,False,"('Dogs',)",Cats,54.705882352941174,0.6209150326797387,17
264,"(('Dogs',), 'Foxes')",Mammals,Specific,True,False,"('Dogs',)",Foxes,70.1,0.6962962962962963,10
265,"(('Dogs',), 'Rabbits')",Mammals,Specific,True,False,"('Dogs',)",Rabbits,29.5,0.4518518518518519,10
266,"(('Dogs', 'Cows'), 'Cats')",Mammals,Specific,False,False,"('Dogs', 'Cows')",Cats,64.125,0.5397727272727273,8
267,"(('Dogs', 'Foxes'), 'All mammals')",Mammals,General,False,False,"('Dogs', 'Foxes')",All mammals,60.6,0.41818181818181815,5
268,"(('Dogs', 'Hamsters'), 'All mammals')",Mammals,General,False,False,"('Dogs', 'Hamsters')",All mammals,61.4,0.4999999999999999,5
269,"(('Dogs', 'Hedgehogs'), 'All mammals')",Mammals,General,False,False,"('Dogs', 'Hedgehogs')",All mammals,49.0,0.4727272727272728,5
270,"(('Dogs', 'Horses'), 'All mammals')",Mammals,General,False,False,"('Dogs', 'Horses')",All mammals,69.0,0.6000000000000001,5
271,"(('Dogs', 'Wolves'), 'All mammals')",Mammals,General,False,False,"('Dogs', 'Wolves')",All mammals,47.142857142857146,0.4285714285714285,7
272,"(('Donkeys',), 'All mammals')",Mammals,General,True,False,"('Donkeys',)",All mammals,45.41379310344828,0.4846743295019158,58
273,"(('Donkeys',), 'Horses')",Mammals,Specific,True,False,"('Donkeys',)",Horses,78.26923076923077,0.782051282051282,26
274,"(('Donkeys',), 'Llamas')",Mammals,Specific,True,False,"('Donkeys',)",Llamas,56.0,0.6008230452674898,9
275,"(('Donkeys',), 'Zebras')",Mammals,Specific,True,False,"('Donkeys',)",Zebras,70.26923076923077,0.7735042735042735,26
276,"(('Donkeys', 'Beavers'), 'All mammals')",Mammals,General,False,False,"('Donkeys', 'Beavers')",All mammals,64.125,0.6022727272727272,8
277,"(('Donkeys', 'Giraffes'), 'All mammals')",Mammals,General,False,False,"('Donkeys', 'Giraffes')",All mammals,62.142857142857146,0.4090909090909091,7
278,"(('Donkeys', 'Hamsters'), 'All mammals')",Mammals,General,False,False,"('Donkeys', 'Hamsters')",All mammals,54.375,0.39204545454545453,8
279,"(('Donkeys', 'Hamsters'), 'Zebras')",Mammals,Specific,False,False,"('Donkeys', 'Hamsters')",Zebras,67.2,0.6227272727272727,10
280,"(('Donkeys', 'Horses'), 'All mammals')",Mammals,General,False,False,"('Donkeys', 'Horses')",All mammals,56.6,0.33636363636363636,5
281,"(('Donkeys', 'Lions'), 'All mammals')",Mammals,General,False,False,"('Donkeys', 'Lions')",All mammals,66.71428571428571,0.6688311688311688,7
282,"(('Doves',), 'All birds')",Birds,General,True,False,"('Doves',)",All birds,53.03076923076923,0.568091168091168,65
283,"(('Doves',), 'Ducks')",Birds,Specific,True,False,"('Doves',)",Ducks,51.375,0.4398148148148148,8
284,"(('Doves',), 'Peacocks')",Birds,Specific,True,False,"('Doves',)",Peacocks,31.625,0.2962962962962963,8
285,"(('Doves',), 'Robins')",Birds,Specific,True,False,"('Doves',)",Robins,56.25,0.6412037037037036,8
286,"(('Doves',), 'Storks')",Birds,Specific,True,False,"('Doves',)",Storks,49.35294117647059,0.45860566448801743,17
287,"(('Doves',), 'Swallows')",Birds,Specific,True,False,"('Doves',)",Swallows,56.55555555555556,0.5864197530864197,9
288,"(('Doves', 'Herons'), 'All birds')",Birds,General,False,False,"('Doves', 'Herons')",All birds,49.125,0.4204545454545454,8
289,"(('Doves', 'Herons'), 'Storks')",Birds,Specific,False,False,"('Doves', 'Herons')",Storks,69.77777777777777,0.6313131313131313,9
290,"(('Doves', 'Magpies'), 'All birds')",Birds,General,False,False,"('Doves', 'Magpies')",All birds,47.75,0.23863636363636365,4
291,"(('Doves', 'Swallows'), 'Peacocks')",Birds,Specific,False,False,"('Doves', 'Swallows')",Peacocks,51.0,0.4545454545454545,8
292,"(('Doves', 'Turkeys'), 'All birds')",Birds,General,False,False,"('Doves', 'Turkeys')",All birds,60.25,0.5965909090909092,8
293,"(('Ducks',), 'All birds')",Birds,General,True,False,"('Ducks',)",All birds,43.49230769230769,0.4196581196581196,65
294,"(('Ducks',), 'Chickens')",Birds,Specific,True,False,"('Ducks',)",Chickens,65.62962962962963,0.6323731138545953,27
295,"(('Ducks',), 'Eagles')",Birds,Specific,True,False,"('Ducks',)",Eagles,25.125,0.15509259259259262,8
296,"(('Ducks',), 'Magpies')",Birds,Specific,True,False,"('Ducks',)",Magpies,43.44444444444444,0.28189300411522633,18
297,"(('Ducks',), 'Pelicans')",Birds,Specific,True,False,"('Ducks',)",Pelicans,55.76923076923077,0.5391737891737892,26
298,"(('Ducks',), 'Seagulls')",Birds,Specific,True,False,"('Ducks',)",Seagulls,54.333333333333336,0.4259259259259259,9
299,"(('Ducks',), 'Sparrows')",Birds,Specific,True,False,"('Ducks',)",Sparrows,52.666666666666664,0.3827160493827161,9
300,"(('Ducks',), 'Storks')",Birds,Specific,True,False,"('Ducks',)",Storks,66.375,0.6574074074074074,8
301,"(('Ducks',), 'Turkeys')",Birds,Specific,True,False,"('Ducks',)",Turkeys,60.44,0.5970370370370369,25
302,"(('Ducks', 'Magpies'), 'Turkeys')",Birds,Specific,False,False,"('Ducks', 'Magpies')",Turkeys,50.333333333333336,0.32323232323232326,9
303,"(('Ducks', 'Ostriches'), 'All birds')",Birds,General,False,False,"('Ducks', 'Ostriches')",All birds,60.2,0.5,5
304,"(('Ducks', 'Storks'), 'All birds')",Birds,General,False,False,"('Ducks', 'Storks')",All birds,40.0,0.2272727272727273,5
305,"(('Ducks', 'Storks'), 'Eagles')",Birds,Specific,False,False,"('Ducks', 'Storks')",Eagles,47.25,0.40340909090909094,8
306,"(('Ducks', 'Storks'), 'Pelicans')",Birds,Specific,False,False,"('Ducks', 'Storks')",Pelicans,76.77777777777777,0.6363636363636364,9
307,"(('Ducks', 'Swallows'), 'Chickens')",Birds,Specific,False,False,"('Ducks', 'Swallows')",Chickens,68.0,0.4898989898989899,9
308,"(('Ducks', 'Turkeys'), 'Pelicans')",Birds,Specific,False,False,"('Ducks', 'Turkeys')",Pelicans,56.0,0.538961038961039,7
309,"(('Ducks', 'Vultures'), 'Turkeys')",Birds,Specific,False,False,"('Ducks', 'Vultures')",Turkeys,53.5,0.6193181818181818,8
310,"(('Eagles',), 'All birds')",Birds,General,True,False,"('Eagles',)",All birds,50.292307692307695,0.52991452991453,65
311,"(('Eagles',), 'Blackbirds')",Birds,Specific,True,False,"('Eagles',)",Blackbirds,51.625,0.41435185185185186,8
312,"(('Eagles',), 'Canaries')",Birds,Specific,True,False,"('Eagles',)",Canaries,35.75,0.3657407407407407,8
313,"(('Eagles',), 'Falcons')",Birds,Specific,True,False,"('Eagles',)",Falcons,76.72222222222223,0.8045267489711934,18
314,"(('Eagles',), 'Magpies')",Birds,Specific,True,False,"('Eagles',)",Magpies,46.0,0.3209876543209877,9
315,"(('Eagles',), 'Robins')",Birds,Specific,True,False,"('Eagles',)",Robins,48.44444444444444,0.32098765432098764,9
316,"(('Eagles',), 'Turkeys')",Birds,Specific,True,False,"('Eagles',)",Turkeys,52.75,0.5648148148148148,8
317,"(('Eagles',), 'Vultures')",Birds,Specific,True,False,"('Eagles',)",Vultures,64.46666666666667,0.6950617283950618,15
318,"(('Eagles', 'Blackbirds'), 'Magpies')",Birds,Specific,False,False,"('Eagles', 'Blackbirds')",Magpies,62.666666666666664,0.45959595959595956,9
319,"(('Eagles', 'Ostriches'), 'Blackbirds')",Birds,Specific,False,False,"('Eagles', 'Ostriches')",Blackbirds,77.625,0.5,8
320,"(('Eagles', 'Parrots'), 'Falcons')",Birds,Specific,False,False,"('Eagles', 'Parrots')",Falcons,66.3,0.5863636363636364,10
321,"(('Eagles', 'Peacocks'), 'All birds')",Birds,General,False,False,"('Eagles', 'Peacocks')",All birds,60.875,0.5852272727272727,8
322,"(('Eagles', 'Pelicans'), 'All birds')",Birds,General,False,False,"('Eagles', 'Pelicans')",All birds,62.0,0.6704545454545454,4
323,"(('Eagles', 'Robins'), 'All birds')",Birds,General,False,False,"('Eagles', 'Robins')",All birds,64.66666666666667,0.5681818181818182,6
324,"(('Eagles', 'Storks'), 'All birds')",Birds,General,False,False,"('Eagles', 'Storks')",All birds,52.75,0.3977272727272727,4
325,"(('Eagles', 'Turkeys'), 'Vultures')",Birds,Specific,False,False,"('Eagles', 'Turkeys')",Vultures,67.71428571428571,0.7077922077922079,7
326,"(('Eagles', 'Vultures'), 'All birds')",Birds,General,False,False,"('Eagles', 'Vultures')",All birds,43.625,0.4318181818181818,8
327,"(('Eagles', 'Vultures'), 'Canaries')",Birds,Specific,False,False,"('Eagles', 'Vultures')",Canaries,43.875,0.3693181818181819,8
328,"(('Elephants',), 'All mammals')",Mammals,General,True,False,"('Elephants',)",All mammals,44.775862068965516,0.4773307790549172,58
329,"(('Elephants',), 'Hamsters')",Mammals,Specific,True,False,"('Elephants',)",Hamsters,25.875,0.28009259259259256,8
330,"(('Elephants',), 'Hedgehogs')",Mammals,Specific,True,False,"('Elephants',)",Hedgehogs,34.333333333333336,0.30864197530864196,9
331,"(('Elephants',), 'Horses')",Mammals,Specific,True,False,"('Elephants',)",Horses,41.5625,0.5324074074074073,16
332,"(('Elephants',), 'Mice')",Mammals,Specific,True,False,"('Elephants',)",Mice,16.75,0.18055555555555555,8
333,"(('Elephants',), 'Squirrels')",Mammals,Specific,True,False,"('Elephants',)",Squirrels,26.0,0.22530864197530864,18
334,"(('Elephants',), 'Wolves')",Mammals,Specific,True,False,"('Elephants',)",Wolves,45.89473684210526,0.3937621832358674,19
335,"(('Elephants', 'Camels'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Camels')",All mammals,61.857142857142854,0.5064935064935064,7
336,"(('Elephants', 'Donkeys'), 'Horses')",Mammals,Specific,False,False,"('Elephants', 'Donkeys')",Horses,56.0,0.4375,8
337,"(('Elephants', 'Giraffes'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Giraffes')",All mammals,56.2,0.27272727272727276,5
338,"(('Elephants', 'Hedgehogs'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Hedgehogs')",All mammals,49.4,0.42727272727272725,5
339,"(('Elephants', 'Llamas'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Llamas')",All mammals,55.2,0.6818181818181819,5
340,"(('Elephants', 'Llamas'), 'Squirrels')",Mammals,Specific,False,False,"('Elephants', 'Llamas')",Squirrels,30.3,0.33181818181818173,10
341,"(('Elephants', 'Rhinos'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Rhinos')",All mammals,49.285714285714285,0.461038961038961,7
342,"(('Elephants', 'Zebras'), 'All mammals')",Mammals,General,False,False,"('Elephants', 'Zebras')",All mammals,50.75,0.6931818181818181,4
343,"(('Falcons',), 'All birds')",Birds,General,True,False,"('Falcons',)",All birds,48.55384615384615,0.47407407407407415,65
344,"(('Falcons',), 'Canaries')",Birds,Specific,True,False,"('Falcons',)",Canaries,44.75,0.2800925925925926,8
345,"(('Falcons',), 'Herons')",Birds,Specific,True,False,"('Falcons',)",Herons,65.55555555555556,0.5925925925925926,9
346,"(('Falcons',), 'Robins')",Birds,Specific,True,False,"('Falcons',)",Robins,54.111111111111114,0.4465020576131687,9
347,"(('Falcons',), 'Sparrows')",Birds,Specific,True,False,"('Falcons',)",Sparrows,46.25,0.44675925925925924,8
348,"(('Falcons',), 'Swans')",Birds,Specific,True,False,"('Falcons',)",Swans,32.42857142857143,0.3174603174603175,7
349,"(('Falcons', 'Eagles'), 'All birds')",Birds,General,False,False,"('Falcons', 'Eagles')",All birds,53.8,0.509090909090909,5
350,"(('Falcons', 'Robins'), 'Sparrows')",Birds,Specific,False,False,"('Falcons', 'Robins')",Sparrows,71.25,0.7329545454545454,8
351,"(('Falcons', 'Sparrows'), 'Robins')",Birds,Specific,False,False,"('Falcons', 'Sparrows')",Robins,68.77777777777777,0.5555555555555556,9
352,"(('Falcons', 'Storks'), 'All birds')",Birds,General,False,False,"('Falcons', 'Storks')",All birds,55.8,0.4636363636363637,5
353,"(('Falcons', 'Swans'), 'All birds')",Birds,General,False,False,"('Falcons', 'Swans')",All birds,62.57142857142857,0.5454545454545455,7
354,"(('Falcons', 'Vultures'), 'All birds')",Birds,General,False,False,"('Falcons', 'Vultures')",All birds,50.833333333333336,0.4393939393939394,12
355,"(('Falcons', 'Woodpeckers'), 'Swans')",Birds,Specific,False,False,"('Falcons', 'Woodpeckers')",Swans,44.0,0.44805194805194803,7
356,"(('Foxes',), 'All mammals')",Mammals,General,True,False,"('Foxes',)",All mammals,47.48275862068966,0.5252234993614304,58
357,"(('Foxes',), 'Cows')",Mammals,Specific,True,False,"('Foxes',)",Cows,36.92307692307692,0.3831908831908831,26
358,"(('Foxes',), 'Hippos')",Mammals,Specific,True,False,"('Foxes',)",Hippos,44.1,0.2962962962962963,10
359,"(('Foxes',), 'Tigers')",Mammals,Specific,True,False,"('Foxes',)",Tigers,45.833333333333336,0.48148148148148145,18
360,"(('Foxes',), 'Wolves')",Mammals,Specific,True,False,"('Foxes',)",Wolves,75.55555555555556,0.8106995884773662,9
361,"(('Foxes', 'Beavers'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Beavers')",All mammals,53.142857142857146,0.49350649350649345,7
362,"(('Foxes', 'Deer'), 'Hippos')",Mammals,Specific,False,False,"('Foxes', 'Deer')",Hippos,56.5,0.4454545454545455,10
363,"(('Foxes', 'Donkeys'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Donkeys')",All mammals,76.8,0.690909090909091,5
364,"(('Foxes', 'Elephants'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Elephants')",All mammals,47.5,0.6477272727272727,4
365,"(('Foxes', 'Hamsters'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Hamsters')",All mammals,62.166666666666664,0.5454545454545454,6
366,"(('Foxes', 'Lions'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Lions')",All mammals,57.125,0.48295454545454547,8
367,"(('Foxes', 'Llamas'), 'Tigers')",Mammals,Specific,False,False,"('Foxes', 'Llamas')",Tigers,44.44444444444444,0.4292929292929293,9
368,"(('Foxes', 'Squirrels'), 'Wolves')",Mammals,Specific,False,False,"('Foxes', 'Squirrels')",Wolves,56.22222222222222,0.6313131313131313,9
369,"(('Foxes', 'Wolves'), 'All mammals')",Mammals,General,False,False,"('Foxes', 'Wolves')",All mammals,66.375,0.6534090909090909,8
370,"(('Giraffes',), 'All mammals')",Mammals,General,True,False,"('Giraffes',)",All mammals,39.827586206896555,0.3639846743295018,58
371,"(('Giraffes',), 'Cats')",Mammals,Specific,True,False,"('Giraffes',)",Cats,22.4,0.30925925925925923,10
372,"(('Giraffes',), 'Elephants')",Mammals,Specific,True,False,"('Giraffes',)",Elephants,42.5,0.537037037037037,10
373,"(('Giraffes',), 'Foxes')",Mammals,Specific,True,False,"('Giraffes',)",Foxes,40.611111111111114,0.38065843621399176,18
374,"(('Giraffes',), 'Hamsters')",Mammals,Specific,True,False,"('Giraffes',)",Hamsters,23.875,0.2777777777777778,8
375,"(('Giraffes',), 'Llamas')",Mammals,Specific,True,False,"('Giraffes',)",Llamas,64.44444444444444,0.6666666666666667,9
376,"(('Giraffes',), 'Mice')",Mammals,Specific,True,False,"('Giraffes',)",Mice,33.411764705882355,0.39215686274509803,17
377,"(('Giraffes', 'Dogs'), 'Foxes')",Mammals,Specific,False,False,"('Giraffes', 'Dogs')",Foxes,65.4,0.49090909090909085,10
378,"(('Giraffes', 'Elephants'), 'Hamsters')",Mammals,Specific,False,False,"('Giraffes', 'Elephants')",Hamsters,24.25,0.19318181818181818,8
379,"(('Giraffes', 'Hippos'), 'All mammals')",Mammals,General,False,False,"('Giraffes', 'Hippos')",All mammals,52.4,0.4727272727272728,5
380,"(('Giraffes', 'Tigers'), 'Mice')",Mammals,Specific,False,False,"('Giraffes', 'Tigers')",Mice,32.0,0.2929292929292929,9
381,"(('Hamsters',), 'All mammals')",Mammals,General,True,False,"('Hamsters',)",All mammals,40.1551724137931,0.40197956577266913,58
382,"(('Hamsters',), 'Cats')",Mammals,Specific,True,False,"('Hamsters',)",Cats,42.55555555555556,0.3971193415637859,9
383,"(('Hamsters',), 'Donkeys')",Mammals,Specific,True,False,"('Hamsters',)",Donkeys,45.6,0.33518518518518514,10
384,"(('Hamsters',), 'Foxes')",Mammals,Specific,True,False,"('Hamsters',)",Foxes,35.75,0.41435185185185186,8
385,"(('Hamsters',), 'Giraffes')",Mammals,Specific,True,False,"('Hamsters',)",Giraffes,26.037037037037038,0.2729766803840878,27
386,"(('Hamsters',), 'Hedgehogs')",Mammals,Specific,True,False,"('Hamsters',)",Hedgehogs,69.875,0.738425925925926,8
387,"(('Hamsters',), 'Lions')",Mammals,Specific,True,False,"('Hamsters',)",Lions,34.4,0.39444444444444443,10
388,"(('Hamsters',), 'Llamas')",Mammals,Specific,True,False,"('Hamsters',)",Llamas,42.94736842105263,0.3372319688109162,19
389,"(('Hamsters',), 'Mice')",Mammals,Specific,True,False,"('Hamsters',)",Mice,85.625,0.8518518518518517,8
390,"(('Hamsters',), 'Rabbits')",Mammals,Specific,True,False,"('Hamsters',)",Rabbits,68.125,0.6550925925925927,8
391,"(('Hamsters',), 'Squirrels')",Mammals,Specific,True,False,"('Hamsters',)",Squirrels,59.888888888888886,0.6069958847736626,9
392,"(('Hamsters',), 'Zebras')",Mammals,Specific,True,False,"('Hamsters',)",Zebras,19.5,0.21296296296296297,10
393,"(('Hamsters', 'Beavers'), 'All mammals')",Mammals,General,False,False,"('Hamsters', 'Beavers')",All mammals,38.75,0.3409090909090909,4
394,"(('Hamsters', 'Camels'), 'Hedgehogs')",Mammals,Specific,False,False,"('Hamsters', 'Camels')",Hedgehogs,50.5,0.49999999999999994,8
395,"(('Hamsters', 'Cats'), 'Rabbits')",Mammals,Specific,False,False,"('Hamsters', 'Cats')",Rabbits,77.5,0.6875,8
396,"(('Hamsters', 'Deer'), 'All mammals')",Mammals,General,False,False,"('Hamsters', 'Deer')",All mammals,63.142857142857146,0.4740259740259739,7
397,"(('Hamsters', 'Deer'), 'Squirrels')",Mammals,Specific,False,False,"('Hamsters', 'Deer')",Squirrels,62.22222222222222,0.5909090909090908,9
398,"(('Hamsters', 'Donkeys'), 'Llamas')",Mammals,Specific,False,False,"('Hamsters', 'Donkeys')",Llamas,58.888888888888886,0.5757575757575757,9
399,"(('Hamsters', 'Elephants'), 'Mice')",Mammals,Specific,False,False,"('Hamsters', 'Elephants')",Mice,65.75,0.6704545454545454,8
400,"(('Hamsters', 'Giraffes'), 'Foxes')",Mammals,Specific,False,False,"('Hamsters', 'Giraffes')",Foxes,58.5,0.44886363636363635,8
401,"(('Hamsters', 'Hedgehogs'), 'All mammals')",Mammals,General,False,False,"('Hamsters', 'Hedgehogs')",All mammals,63.8,0.41818181818181815,5
402,"(('Hamsters', 'Llamas'), 'All mammals')",Mammals,General,False,False,"('Hamsters', 'Llamas')",All mammals,56.857142857142854,0.6233766233766234,7
403,"(('Hamsters', 'Squirrels'), 'All mammals')",Mammals,General,False,False,"('Hamsters', 'Squirrels')",All mammals,46.25,0.30681818181818177,4
404,"(('Hamsters', 'Tigers'), 'Cats')",Mammals,Specific,False,False,"('Hamsters', 'Tigers')",Cats,70.11111111111111,0.6666666666666666,9
